dataset,size,key,elapsed,delta
ZKW,4,solve_ftapas_50,0.00037932395935058594,0.0
ZKC,22,solve_ftapas_15,0.0982046127319336,3628.0
ZKC,10,solve_ftapas_30,0.0021152496337890625,1432.0
NK,20,dynamic_weight,0.9863531589508057,0.0
ZKC,25,greedy_redux,6.937980651855469e-05,432.0
NK,15,greedy_simple,2.6702880859375e-05,0.0
ZKC,20,dynamic_weight,1.1210596561431885,154.0
NK,25,greedy_redux,7.390975952148438e-05,0.0
NK,22,branch_bound,0.006890058517456055,0.0
ZKW,15,dynamic_cost,0.0002048015594482422,0.0
NK,22,solve_ftapas_30,0.04988527297973633,0.0
ZKC,20,dynamic_weight,0.5586471557617188,1313.0
ZKC,4,dynamic_weight,0.029870986938476562,0.0
NK,27,solve_ftapas_50,0.05523324012756348,0.0
ZKC,22,dynamic_weight,1.119781494140625,3981.0
ZKC,22,branch_bound,4.6878502368927,4116.0
ZKC,15,solve_ftapas_70,0.010006427764892578,1969.0
ZKC,22,branch_bound,1.687840223312378,5612.0
NK,4,greedy_redux,2.3365020751953125e-05,0.0
ZKC,4,greedy_simple,3.0279159545898438e-05,1736.0
ZKW,10,dynamic_cost,0.0002357959747314453,2502.0
NK,15,branch_bound,0.0012331008911132812,0.0
ZKC,27,solve_ftapas_30,0.09841251373291016,60.0
ZKC,25,greedy_simple,5.3882598876953125e-05,3952.0
ZKC,10,solve_ftapas_15,0.008591651916503906,3519.0
ZKW,4,branch_bound,9.560585021972656e-05,0.0
ZKW,4,solve_ftapas_50,0.00042510032653808594,0.0
ZKW,4,solve_ftapas_15,0.0005078315734863281,0.0
NK,4,solve_ftapas_70,0.0003230571746826172,0.0
ZKW,4,branch_bound,0.00023508071899414062,0.0
NK,22,greedy_simple,5.602836608886719e-05,0.0
ZKW,20,solve_ftapas_30,0.013735055923461914,85.0
NK,4,solve_ftapas_30,0.0005168914794921875,0.0
ZKC,20,dynamic_cost,0.021297931671142578,1653.0
NK,10,solve_ftapas_15,0.007808685302734375,0.0
ZKC,27,dynamic_cost,0.0720677375793457,3160.0
NK,27,greedy_redux,8.58306884765625e-05,0.0
NK,25,solve_ftapas_30,0.045426130294799805,0.0
NK,10,solve_ftapas_30,0.004353523254394531,0.0
NK,4,greedy_redux,4.2438507080078125e-05,0.0
ZKW,4,dynamic_cost,0.00019931793212890625,0.0
NK,4,greedy_simple,1.6689300537109375e-05,0.0
ZKC,10,branch_bound,0.002372264862060547,5215.0
ZKC,10,solve_ftapas_30,0.004008293151855469,1295.0
ZKC,27,greedy_redux,6.699562072753906e-05,1139.0
ZKC,27,solve_ftapas_70,0.03373098373413086,735.0
NK,10,solve_ftapas_70,0.0013418197631835938,0.0
NK,15,solve_ftapas_70,0.0075795650482177734,0.0
NK,22,solve_ftapas_50,0.026081323623657227,199.0
NK,25,dynamic_weight,1.1428110599517822,0.0
NK,10,solve_ftapas_50,0.0036051273345947266,0.0
NK,10,solve_ftapas_70,0.002210378646850586,0.0
NK,22,solve_ftapas_15,0.09650731086730957,0.0
ZKW,15,dynamic_weight,0.4444272518157959,0.0
NK,15,solve_ftapas_50,0.008292913436889648,0.0
NK,20,branch_bound,0.04824376106262207,0.0
ZKW,4,solve_ftapas_30,0.0004849433898925781,0.0
NK,27,solve_ftapas_30,0.0779881477355957,0.0
ZKW,4,dynamic_weight,0.036313533782958984,0.0
NK,15,dynamic_cost,0.00013780593872070312,0.0
