target,best_score,batch_size,mutation_rate
38667,38397,40,0.01
25628,23453,40,0.0
44321,44065,40,0.01
48073,47929,40,0.01
35770,35770,40,0.01
45176,45176,40,0.01
49784,49784,40,0.01
50428,50428,40,0.01
47153,47153,40,0.01
39180,38800,40,0.01
41567,41137,40,0.01
13813,13252,40,0.01
33621,33192,40,0.01
43182,42790,40,0.01
43222,42992,40,0.01
45967,45810,40,0.01
46847,46469,40,0.01
59121,58396,40,0.01
25679,25372,40,0.01
43413,43413,40,0.01
37444,37444,40,0.01
47488,47488,40,0.01
50757,50757,40,0.01
40704,40050,40,0.01
45571,45476,40,0.01
18186,17997,40,0.01
41596,41558,40,0.01
55841,55823,40,0.01
31840,31701,40,0.01
43131,42991,40,0.01
38758,38758,40,0.01
43208,43208,40,0.01
50742,50742,40,0.01
45119,45119,40,0.01
53207,53207,40,0.01
39321,39129,40,0.01
33666,33598,40,0.01
46883,46883,40,0.01
50603,50603,40,0.01
43343,43343,40,0.01
18007,17809,40,0.01
52258,52258,40,0.01
27772,27645,40,0.01
51393,51393,40,0.01
55122,55122,40,0.01
56332,56332,40,0.01
19901,19901,40,0.01
53330,53330,40,0.01
15470,15470,40,0.01
34572,34418,40,0.01
25628,25185,40,0.01
38667,38667,40,0.02
44321,44321,40,0.02
48073,48073,40,0.02
49784,49784,40,0.02
35770,35770,40,0.02
45176,45176,40,0.02
50428,50428,40,0.02
47153,47153,40,0.02
39180,38995,40,0.02
