dataset,size,key,elapsed,delta,target_cost
ZKW,4,dynamic_weight,0.024677276611328125,0.0,4276
ZKC,15,branch_bound,0.05626559257507324,0.0,11650
ZKW,4,solve_ftapas_15,0.0005075931549072266,0.0,2880
ZKC,22,greedy_redux,0.0001888275146484375,1324.0,16206
ZKW,4,solve_ftapas_70,0.00027108192443847656,0.0,1939
ZKC,27,solve_ftapas_70,0.04425525665283203,28.0,26838
NK,10,solve_ftapas_30,0.0027015209197998047,0.0,0
ZKC,4,dynamic_cost,4.6253204345703125e-05,0.0,4095
ZKC,15,solve_ftapas_50,0.009720087051391602,0.0,13726
NK,4,greedy_simple,4.601478576660156e-05,0.0,1535
NK,20,solve_ftapas_15,0.05874752998352051,0.0,12855
ZKC,27,solve_ftapas_30,0.08870553970336914,25.0,24216
ZKC,10,branch_bound,0.002826213836669922,0.0,9024
ZKW,25,solve_ftapas_70,0.023215770721435547,0.0,3750
NK,10,solve_ftapas_15,0.011487483978271484,0.0,13810
NK,27,greedy_simple,7.343292236328125e-05,468.0,29882
ZKW,20,dynamic_weight,0.6920669078826904,0.0,1762
NK,25,solve_ftapas_50,0.04087543487548828,0.0,19189
ZKC,27,solve_ftapas_70,0.03865528106689453,6.0,22028
NK,22,dynamic_cost,0.016553163528442383,0.0,17318
NK,20,solve_ftapas_50,0.023370027542114258,0.0,14390
ZKW,10,dynamic_cost,5.626678466796875e-05,0.0,9086
ZKC,20,solve_ftapas_70,0.016421079635620117,48.0,19375
NK,27,solve_ftapas_15,0.13798260688781738,8.0,25367
NK,27,branch_bound,0.8204185962677002,0.0,26062
ZKC,20,greedy_redux,6.794929504394531e-05,1029.0,14603
NK,25,solve_ftapas_30,0.03294229507446289,0.0,5755
NK,10,greedy_simple,2.1457672119140625e-05,0.0,12243
ZKC,25,dynamic_weight,1.4136829376220703,0.0,20647
ZKC,20,greedy_simple,0.00012803077697753906,665.0,19256
NK,10,solve_ftapas_50,0.001729726791381836,0.0,8961
NK,4,solve_ftapas_15,0.0007250308990478516,0.0,0
ZKC,4,solve_ftapas_70,0.00029778480529785156,0.0,2139
NK,15,solve_ftapas_30,0.01639699935913086,0.0,21292
