iid,dataset,size,key,elapsed,result,target
1724,ZKW,10,solve_ftapas_15,0.010787248611450195,3986,3986
247,NK,22,solve_ftapas_15,0.12266016006469727,10436,10436
46,NK,25,solve_ftapas_15,0.13134384155273438,28480,28480
94,ZKC,25,solve_ftapas_15,0.16421794891357422,23601,23618
296,NK,15,solve_ftapas_15,0.03363609313964844,7077,7077
139,NK,4,solve_ftapas_15,0.0008330345153808594,1055,1055
473,NK,10,solve_ftapas_15,0.007013797760009766,8282,8282
303,NK,20,solve_ftapas_15,0.06904315948486328,24277,24277
154,ZKC,10,solve_ftapas_15,0.009895086288452148,8286,8286
252,ZKC,25,solve_ftapas_15,0.15812301635742188,23388,23397
432,ZKC,20,solve_ftapas_15,0.08933663368225098,20205,20205
459,NK,27,solve_ftapas_15,0.17557692527770996,10888,10888
275,NK,22,solve_ftapas_15,0.10100889205932617,21395,21395
77,ZKC,27,solve_ftapas_15,0.21614313125610352,25596,25606
344,ZKC,4,solve_ftapas_15,0.0007891654968261719,3078,3078
84,NK,4,solve_ftapas_15,0.0005249977111816406,1872,1872
117,NK,22,solve_ftapas_15,0.09460282325744629,10498,10498
1129,ZKW,4,solve_ftapas_15,0.0005340576171875,4603,4603
216,ZKC,25,solve_ftapas_15,0.17347097396850586,22989,23004
78,ZKC,10,solve_ftapas_15,0.00954890251159668,10192,10215
32,ZKC,4,solve_ftapas_15,0.0005550384521484375,2514,2514
907,ZKW,4,solve_ftapas_15,0.0005578994750976562,1476,1476
100,ZKC,10,solve_ftapas_15,0.009022951126098633,10019,10019
128,NK,20,solve_ftapas_15,0.07613587379455566,16729,16729
217,NK,4,solve_ftapas_15,0.0005869865417480469,1742,1742
134,NK,15,solve_ftapas_15,0.02711009979248047,4437,4437
203,NK,27,solve_ftapas_15,0.1927318572998047,20364,20364
300,NK,22,solve_ftapas_15,0.09434008598327637,25547,25547
293,NK,22,solve_ftapas_15,0.10391092300415039,11444,11444
417,ZKW,4,solve_ftapas_15,0.0004887580871582031,4737,4737
304,ZKC,15,solve_ftapas_15,0.033928871154785156,14733,14733
349,NK,25,solve_ftapas_15,0.15386223793029785,14993,14993
454,NK,15,solve_ftapas_15,0.03736996650695801,10362,10362
154,NK,15,solve_ftapas_15,0.03203105926513672,13185,13185
1394,ZKW,15,solve_ftapas_15,0.027199983596801758,1243,1243
465,NK,15,solve_ftapas_15,0.03202986717224121,14034,14034
363,ZKC,25,solve_ftapas_15,0.16062521934509277,22527,22527
30,ZKC,4,solve_ftapas_15,0.0007579326629638672,3875,3875
1,NK,10,solve_ftapas_15,0.006143331527709961,5370,5370
256,NK,10,solve_ftapas_15,0.007328033447265625,10873,10873
331,NK,22,solve_ftapas_15,0.11284995079040527,30037,30037
59,ZKW,4,solve_ftapas_15,0.0004661083221435547,7223,7223
171,NK,27,solve_ftapas_15,0.17554974555969238,29845,29845
481,NK,4,solve_ftapas_15,0.0006320476531982422,5488,5488
326,ZKC,4,solve_ftapas_15,0.0006499290466308594,3346,3381
81,NK,15,solve_ftapas_15,0.024571895599365234,16423,16423
68,ZKC,15,solve_ftapas_15,0.03727602958679199,11704,11726
116,ZKC,10,solve_ftapas_15,0.010345935821533203,9756,9756
158,NK,10,solve_ftapas_15,0.008044004440307617,9216,9216
186,ZKC,22,solve_ftapas_15,0.11915898323059082,21581,21591
5,NK,22,solve_ftapas_15,0.11676812171936035,26578,26578
199,NK,10,solve_ftapas_15,0.007696866989135742,8484,8484
409,NK,25,solve_ftapas_15,0.13365387916564941,11467,11467
148,ZKC,4,solve_ftapas_15,0.008505105972290039,4260,4260
426,NK,25,solve_ftapas_15,0.1409621238708496,17480,17480
114,NK,10,solve_ftapas_15,0.013664007186889648,5131,5131
