opcount,elapsed,optimizations,size,itype
19389,0.16463296799997806,{'residuals'},15,ZR
88,0.0005991680000079214,set(),10,ZR
4282431,36.687249144000134,{'residuals'},22,NR
8388607,57.67697943400003,set(),22,NR
57175,0.4469132960000479,{'weight'},15,ZR
138,0.0014879389998441184,{'residuals'},10,ZR
4,5.965600007584726e-05,{'weight'},4,ZR
14,0.00021771399997305707,"{'weight', 'residuals'}",15,ZR
2574,0.017379217999859975,set(),25,ZR
65535,0.49586557099996753,{'weight'},15,NR
207,0.002397045000179787,{'residuals'},20,ZR
2047,0.013638608000064778,set(),10,ZR
837,0.009341357000039352,{'residuals'},20,NR
31,0.000250947000040469,set(),4,ZR
1368,0.009122410999907515,set(),20,ZR
5,5.727200004912447e-05,{'weight'},10,NR
2015,0.015076230999966356,{'weight'},10,NR
220919,1.482536638000056,{'weight'},25,NR
35807,0.2632621550001204,{'weight'},15,NR
1439,0.0143465329999799,"{'weight', 'residuals'}",20,NR
4,6.522599983327382e-05,{'residuals'},4,ZR
7652267,57.9733520499999,{'weight'},22,ZR
405,0.004076043999930334,"{'weight', 'residuals'}",10,ZR
883,0.009035887999971237,"{'weight', 'residuals'}",22,NR
385,0.0027379980001569493,{'weight'},20,ZR
1,1.738399987516459e-05,{'weight'},10,NR
831,0.007361262000131319,{'residuals'},10,ZR
1659,0.0121786559998327,{'weight'},10,ZR
3,6.148700003905105e-05,"{'weight', 'residuals'}",25,NR
19,0.00015855599986025481,set(),4,NR
27,0.00028399600000739156,"{'weight', 'residuals'}",4,ZR
7,8.352100007869012e-05,"{'weight', 'residuals'}",4,NR
2390135,16.83045046799998,{'weight'},25,NR
9,0.00015355100003944244,"{'weight', 'residuals'}",4,ZR
1549,0.014532655000039085,"{'weight', 'residuals'}",22,NR
21437,0.1817510820001189,{'residuals'},25,ZR
7687571,58.31162465900002,{'weight'},22,ZR
61396375,475.072059417,{'weight'},25,ZR
27,0.00021379600002546795,set(),4,ZR
67108863,468.2682074339998,set(),25,NR
5845,0.052513712000063606,{'residuals'},25,ZR
3841,0.04207082899984016,"{'weight', 'residuals'}",22,NR
43,0.0007176450001225021,"{'weight', 'residuals'}",10,NR
2,3.374600009919959e-05,"{'weight', 'residuals'}",4,NR
49,0.0008703859998604457,"{'weight', 'residuals'}",25,ZR
8388607,56.88560010600008,set(),22,ZR
857,0.007494199000120716,{'residuals'},10,ZR
60952517,472.9861246769999,{'weight'},25,ZR
6,6.09080000231188e-05,{'weight'},10,NR
46,0.0005062479999651259,"{'weight', 'residuals'}",25,NR
11529919,83.51072102700005,{'weight'},25,NR
46109,0.39751486500017563,{'residuals'},22,NR
62255161,481.95185444899994,{'weight'},25,ZR
26,0.0002421540000341338,{'residuals'},4,NR
6,6.784800007153535e-05,"{'weight', 'residuals'}",4,NR
281,0.00263972399989143,"{'weight', 'residuals'}",10,NR
20,0.00020010400021419628,{'residuals'},4,ZR
2047,0.013760736999984147,set(),10,ZR
453,0.004540297999938048,"{'weight', 'residuals'}",10,NR
60375,0.5422313049998593,{'residuals'},20,NR
21699,0.20452192500010824,"{'weight', 'residuals'}",25,NR
384,0.002661619000036808,{'weight'},25,NR
21,0.0004534869999588409,{'weight'},22,NR
61065,0.45070782600009807,{'weight'},15,ZR
8478143,61.18808609100006,{'weight'},25,NR
33475,0.2784119739999369,{'residuals'},15,NR
41,0.00033046800012925814,set(),10,ZR
1587,0.013251285999785978,{'residuals'},10,NR
2047,0.01400737900007698,set(),10,ZR
45821,0.33995530199990753,{'weight'},15,NR
15,0.00018751299990071857,set(),20,ZR
2207,0.020705811000198082,"{'weight', 'residuals'}",15,NR
250,0.0017430880000119942,set(),22,NR
60493759,467.51770142400005,{'weight'},25,ZR
9419,0.0955291519999264,"{'weight', 'residuals'}",15,ZR
146,0.0010928899998816632,{'weight'},10,ZR
1128,0.007802730999856067,set(),10,ZR
65535,0.43773660200008635,set(),15,NR
18857,0.1672451680001359,{'residuals'},15,ZR
65535,0.44618355400007204,set(),15,ZR
23,0.0002431479999813746,{'residuals'},4,ZR
14,0.00025417599999855156,{'residuals'},22,NR
83493,0.5931071210000027,{'weight'},20,NR
67108863,461.3803083639998,set(),25,NR
279,0.0028755529999671126,{'residuals'},25,NR
397,0.003411155999856419,{'residuals'},22,ZR
8,0.0001300669998727244,{'residuals'},10,NR
9,0.0001096480000342126,set(),22,NR
3,4.917399996884342e-05,"{'weight', 'residuals'}",4,ZR
17827,0.16131956700019146,{'residuals'},22,NR
528,0.005405381999935344,{'residuals'},10,ZR
326351,2.976856325999961,{'residuals'},20,ZR
7,0.00014094199991632195,"{'weight', 'residuals'}",20,NR
11,0.00017700300008982595,{'residuals'},22,NR
6,7.929499997771927e-05,set(),15,NR
11,0.00013652699999511242,set(),20,NR
8,0.00010029400004896161,{'residuals'},4,NR
84,0.000829464999924312,"{'weight', 'residuals'}",10,ZR
34915033,296.724056451,{'residuals'},25,NR
176,0.0018234899998788023,"{'weight', 'residuals'}",25,ZR
21647,0.18287858400003643,{'residuals'},15,ZR
46,0.0005174059999717429,{'weight'},15,ZR
40471,0.2926020919999246,{'weight'},15,NR
524861,4.514592040000025,{'residuals'},20,NR
1587,0.014626205000013215,"{'weight', 'residuals'}",25,NR
6543159,62.37585584899989,"{'weight', 'residuals'}",25,ZR
305,0.0022319069998957275,{'weight'},22,ZR
244,0.0018166899999414454,{'weight'},25,ZR
3029,0.02703937000001133,{'residuals'},15,ZR
65535,0.4597961879999275,set(),15,ZR
2097151,14.176418635000118,set(),20,ZR
1148185,9.621386864999977,{'residuals'},22,NR
17,0.0001931340000282944,"{'weight', 'residuals'}",4,ZR
10,9.444700003768958e-05,{'weight'},4,ZR
35,0.00048499299987270206,"{'weight', 'residuals'}",22,NR
2097151,14.395696828999917,set(),20,NR
65535,0.4490377530000842,set(),15,ZR
